 e9 d11  j2  g6  f6  e8  d8  e7  h6  h5 
 e9 e10  g6  g5  e6  e5  f5  g3  i3  h4 
 f2  e7  f7  f6  h5  g6  h6  g8  d7  c9 
 f2  e7  f7  g5  h5  g6  h6  g7  h7  h4 
 f2  e7  g6  g5  h5  h4  f5  f6  j3  i4 
 f2  f3  d7  d8  f7  f6  e7  d4  g4  h2 
 f2  f3  g5  f7  e7  f6  d4  d5  b6  c5 
 f2  f3  g5  f7  e7  f6  e6  f5  e5  d4 
 f2  f3  j2  i3  h4  h3  g4  g5  g3  h5 
 f2  f6  e6  e7  g6  g5  i4  i3  h4  h5 
 f2  f6  g6  g5  j3  j2  i3  i2  h3  h2 
 f2  f6  g6  h4  d7  d8  e7  g7  f7  e9 
 f2  g3  e4  e5  c6  d7  e7  d8  e6  d6 
 f2  g3  e4 b10  f7  e9  g8  e5  g5  g6 
 f2  g3  h4  g6  e7  f5  d6  d5  e5  f3 
 f2  g5  h5  h4  j3  j2  i3  i4  j4  i5 
 f3  f4  d5  d6  f6  f5  e6  e5  h4  h3 
 f3  f4  f6  e8  g7  f9  h8  g6  f7  f5 
 f3  f4  f6  f5  h4  g5  h5  g7  e8  g6 
 f3  f4  f6  f7  e7  d9  c9  d8  e8  e9 
 f3  f4  g4  f6  e6  e7  c8  d7  a7  c9 
 f3  f4  g4  f6  g6  g5  i4  h5  e4  i5 
 f3  f4  h4  g6  d5  e7  c8  c9  h6  h7 
 f3  g1  d6  d7  e7  e6  i3  h5  g5  d9 
 f3  g1  d6  d7  f6  e8  g7  g8  f8 e10 
 f3  g1  d6  f6  g6  g5  h5  h4  i4  i3 
 f3  g1  e2  f6  g6  g5  i4  h5  e6  e7 
 f3  g1  f6  f5  g5  h3  g4  f7  e7  g3 
 f3  g1  f6  f5  g5  h3  i3  h4  i4  h5 
 f3  g1  i3  i4  f6  f7  g7  g8  f8  e9 
 f9  f8  f6  g4  h4  h5  g5  e7  d7  e5 
 f9  f8  h7  g8  e6  e7  c8  h8  i8 i10 
 f9  f8  h7  h6  f6  f7  g6  g7  d8  h4 
 f9 e11  f6  f5  g5  h3  i3  g7  f7  h4 
 f9 e11  f6  f5  g5  h3  i3  h4  g4  g3 
 f9 e11  f6  f5  g5  h3  i3  h4  g4  g3 
 f9 e11  f6  f5  g5  h3  i3  h4  g4  g3 
 f9 e11  f6  f5  g5  h3  i3  h4  g4  g3 
 f9 e11  f6  g4  h4  h5  g5  i2  j2  i3 
 f9 e11  g7  g8  f8  e6  d6  g6  d7  e4 
 f9 e11  h5  h4  f5  f4  g4  h2  d5  d7 
 f9 e11 d10  f8  h7  h6  g6  g5  e6  e5 
 g2  d8  f7  e9  g8  f6  g6  h4  i4  i3 
 g2  g3  e7  d9  f8 e10  g9 f11 h10  e4 
 g2  g3  e7  e4  h3  g5  h5  h4  j3  g6 
 g2  g3  e7  e6  h4  h5  i5  i4  f6  g5 
 g2  g3  e7  e8  d8 c10 b10  c9  d9 d10 
 g2  g3  e7  e8  d8 c10 b10  c9  d9 d10 
 g2  g3  f6  g4  h4  g5  h5  g6  h6  g8 
 g2  g3  f7  f6  h5  h4  e4  e5  f4  f5 
 g2  g3  g5  f7  g7  g6  e7  e4  c5  d3 
 g2  g3  h4  g6  f6  g5  f5  e4  h6  h5 
 g2  g3  h4  i2  j2  i3  j3  i4  j4  i5 
 g2  g3  h5  h4  i4  i3  k2  j3  k3  j4 
 g2  g5  f5  e7  g6  f6  h5  h4  j3  i4 
 g2  g5  h5  h4  j3  i4  j4  i5  j5  i7 
 g3  f6  g6  g5  h5  h4  j3  j2  i3  i4 
 g3  g4  h4  h3  i3  g6  f6  g5  e5  e8 
 g3  g4  h4  h3  i3  j1  g6  g5  h5  h2 
 g3  g4  h4  h3  i3  j1  g6  g7  f7  g5 
 g3  g5  f5  f6  d7  d8  e7  e8  f7  f8 
 g3  g5  h5  h4  j3  j2  i3  i2  h3  i4 
 g3  h1  d8  e6  f6  f7  e7  g4  c7  d9 
 g3  h1  d8  e6  h4  f7  g7  g6  i5  h6 
